,Santa Marta montane forests,Cauca Valley montane forests,Venezuelan Andes montane forests,Atacama desert,Magdalena Valley montane forests,Eastern Cordillera real montane forests,Lara-Falcon dry forests,Cordillera Oriental montane forests,Santa Marta paramo,Northwestern Andean montane forests,Cauca Valley dry forests,Magdalena Valley dry forests,Tumbes-Piura dry forests,Maranon dry forests,Bolivian Yungas,Patia Valley dry forests,Valdivian temperate forests,Southern Andean Yungas,Peruvian Yungas,Patagonian steppe,Northern Andean paramo,Magellanic subpolar forests,Cordillera Central paramo,Cordillera La Costa montane forests,Cordillera de Merida paramo,Central Andean wet puna,Central Andean puna,Bolivian montane dry forests,Araya and Paria xeric scrub,Southern Andean steppe,Central Andean dry puna,La Costa xeric shrublands,Chilean matorral,High Monte
Santa Marta montane forests,0,701441.8526,380885.7408,3690193.927,588133.6092,1591137.161,488621.2894,534206.2045,2692.142227,1044809.777,717320.115,781681.9101,1908592.257,1965621.513,3020919.099,1059530.062,5722116.165,3896606.665,2383643.999,6254359.338,1056688.675,6913015.856,2077481.649,806152.8959,373904.6177,2687671.112,3532475.596,3403288.305,1124392.223,4612922.035,3598649.341,829646.325,4677353.933,4450051.607
Cauca Valley montane forests,701441.8526,0,711409.2535,3088211.499,177481.0572,890129.5128,1000717.053,310670.0247,703478.7262,347363.9579,16559.41639,149880.8179,1207380.393,1270160.481,2480408.377,358155.4704,5080259.188,3350600.025,1730592.545,5623494.576,361157.5984,6268917.502,1386451.755,1217999.544,700616.8024,2066788.608,2953961.553,2870749.442,1522190.676,3998434.977,3020453.06,1207177.122,4049281.995,3853824.342
Venezuelan Andes montane forests,380885.7408,711409.2535,0,3443625.413,540115.352,1532032.745,297090.7512,418214.2002,383095.0735,1043553.763,727442.3333,716718.2994,1859481.162,1867687.688,2741322.281,1037163.904,5499812.355,3611905.263,2202439.041,6019084.166,1002690.877,6689144.475,1964109.073,522528.5107,11559.90183,2468489.755,3270521.071,3115315.799,841611.662,4370053.968,3335891.311,524717.3488,4446115.729,4193801.321
Atacama desert,3690193.927,3088211.499,3443625.413,0,3128658.626,2367478.061,3676879.811,3157148.543,3692820.766,2849616.131,3077695.214,2957761.137,2212295.291,1997410.579,779232.9689,2802352.879,2072256.338,519456.3393,1399324.389,2576525.044,2753921.93,3253454.928,1866265.681,3620270.424,3440857.749,1025053.584,244291.1587,584527.4473,3700108.474,926497.7002,215374.958,3565606.327,1014460.599,765781.7981
Magdalena Valley montane forests,588133.6092,177481.0572,540115.352,3128658.626,0,1019018.468,833465.3505,133321.828,590496.9459,504485.7013,192280.5946,195613.0269,1343204.427,1382318.041,2490350.203,502507.8711,5144593.714,3365234.667,1799699.924,5681616.088,480868.2128,6335041.757,1491450.027,1041392.374,529672.3265,2115645.138,2982498.086,2878507.489,1344723.455,4046538.771,3048972.286,1029893.836,4104924.095,3892375.923
Eastern Cordillera real montane forests,1591137.161,890129.5128,1532032.745,2367478.061,1019018.468,0,1828663.818,1119762.493,1593218.619,557821.1878,874524.5126,825287.3714,327559.6912,399098.1067,1902983.982,533466.1798,4266977.43,2717047.046,968490.4938,4822435.18,538219.6816,5446689.993,528241.6116,1970910.239,1523185.299,1357218.478,2279865.214,2282095.266,2228405.787,3237109.649,2344252.088,1942280.373,3265758.631,3124153.793
Lara Falcon dry forests,488621.2894,1000717.053,297090.7512,3676879.811,833465.3505,1828663.818,0,714694.8383,489440.9058,1337892.155,1017026.576,1013404.394,2156174.836,2160143.874,2954371.047,1333130.193,5742286.356,3816274.058,2473337.418,6253140.782,1299742.767,6928933.608,2253862.218,323424.3801,306466.367,2721755.099,3494146.197,3319146.811,636482.7239,4602739.211,3558657.237,356683.5356,4685647.633,4418122.387
Cordillera Oriental montane forests,534206.2045,310670.0247,418214.2002,3157148.543,133321.828,1119762.493,714694.8383,0,536792.3334,627058.9021,325214.2825,298741.0168,1446453.412,1469268.905,2497823.401,619026.1449,5188268.225,3373916.261,1853849.63,5720156.821,586002.5328,6379191.328,1572797.822,910177.1924,408418.3852,2153493.116,3002433.559,2883156.468,1211788.131,4079183.301,3068735.559,897498.6841,4143148.021,3918075.306
Santa Marta paramo,2692.142227,703478.7262,383095.0735,3692820.766,590496.9459,1593218.619,489440.9058,536792.3334,0,1046733.814,719345.2215,783988.892,1910591.229,1967831.09,3023598.984,1061551.91,5724673.707,3899288.579,2386127.809,6256947.66,1058852.262,6915572.056,2079745.032,807217.078,376150.8177,2690249.774,3535130.66,3405974,1125311.68,4615535.438,3601305.283,830872.2745,4679940.333,4452692.414
Northwestern Andean montane forests,1044809.777,347363.9579,1043553.763,2849616.131,504485.7013,557821.1878,1337892.155,627058.9021,1046733.814,0,330901.667,336344.1167,865696.6677,950853.5869,2297090.37,57917.29219,4801060.663,3151346.834,1462717.359,5351376.414,144093.7432,5985569.422,1074243.37,1531857.607,1033324.55,1824831.154,2734940.2,2686918.256,1822567.587,3744141.091,2800951.611,1514420.254,3784215.295,3614097.176
