ecoregion1,ecoregion2,dissimilarity
Araya and Paria xeric scrub,Atacama desert,1
Atacama desert,Bolivian montane dry forests,1
Araya and Paria xeric scrub,Bolivian montane dry forests,1
Atacama desert,Bolivian Yungas,1
Bolivian montane dry forests,Bolivian Yungas,0.5
Araya and Paria xeric scrub,Bolivian Yungas,1
Atacama desert,Cauca Valley dry forests,1
Bolivian Yungas,Cauca Valley dry forests,1
Bolivian montane dry forests,Cauca Valley dry forests,1
Araya and Paria xeric scrub,Cauca Valley dry forests,1
Atacama desert,Cauca Valley montane forests,1
Cauca Valley dry forests,Cauca Valley montane forests,0
Bolivian Yungas,Cauca Valley montane forests,1
Bolivian montane dry forests,Cauca Valley montane forests,1
Araya and Paria xeric scrub,Cauca Valley montane forests,1
Cauca Valley montane forests,Central Andean dry puna,1
Atacama desert,Central Andean dry puna,0.75
Cauca Valley dry forests,Central Andean dry puna,1
Bolivian Yungas,Central Andean dry puna,0.5
Bolivian montane dry forests,Central Andean dry puna,0.75
Araya and Paria xeric scrub,Central Andean dry puna,1
Cauca Valley montane forests,Central Andean puna,1
Atacama desert,Central Andean puna,0.75
Cauca Valley dry forests,Central Andean puna,1
Bolivian Yungas,Central Andean puna,0.5
Bolivian montane dry forests,Central Andean puna,0.75
Araya and Paria xeric scrub,Central Andean puna,1
Central Andean dry puna,Central Andean puna,0
Cauca Valley montane forests,Central Andean wet puna,1
Atacama desert,Central Andean wet puna,1
Cauca Valley dry forests,Central Andean wet puna,1
Bolivian Yungas,Central Andean wet puna,0
Central Andean puna,Central Andean wet puna,0.5
Bolivian montane dry forests,Central Andean wet puna,0.5
Araya and Paria xeric scrub,Central Andean wet puna,1
Central Andean dry puna,Central Andean wet puna,0.5
Cauca Valley montane forests,Chilean matorral,1
Atacama desert,Chilean matorral,0
Cauca Valley dry forests,Chilean matorral,1
Bolivian Yungas,Chilean matorral,1
Central Andean wet puna,Chilean matorral,1
Central Andean puna,Chilean matorral,0.75
Bolivian montane dry forests,Chilean matorral,1
Araya and Paria xeric scrub,Chilean matorral,1
Central Andean dry puna,Chilean matorral,0.75
Cauca Valley montane forests,Cordillera Central paramo,1
Atacama desert,Cordillera Central paramo,1
Cauca Valley dry forests,Cordillera Central paramo,1
Bolivian Yungas,Cordillera Central paramo,0.666666667
Central Andean wet puna,Cordillera Central paramo,0.666666667
Central Andean puna,Cordillera Central paramo,0.8
Bolivian montane dry forests,Cordillera Central paramo,1
Araya and Paria xeric scrub,Cordillera Central paramo,1
Central Andean dry puna,Cordillera Central paramo,0.8
Chilean matorral,Cordillera Central paramo,1
Cauca Valley montane forests,Cordillera de Merida paramo,1
Atacama desert,Cordillera de Merida paramo,1
Cauca Valley dry forests,Cordillera de Merida paramo,1
Bolivian Yungas,Cordillera de Merida paramo,1
Cordillera Central paramo,Cordillera de Merida paramo,1
Central Andean wet puna,Cordillera de Merida paramo,1
Central Andean puna,Cordillera de Merida paramo,1
Bolivian montane dry forests,Cordillera de Merida paramo,1
Araya and Paria xeric scrub,Cordillera de Merida paramo,0
Central Andean dry puna,Cordillera de Merida paramo,1
Chilean matorral,Cordillera de Merida paramo,1
Cauca Valley montane forests,Cordillera La Costa montane forests,1
Atacama desert,Cordillera La Costa montane forests,1
Cauca Valley dry forests,Cordillera La Costa montane forests,1
Bolivian Yungas,Cordillera La Costa montane forests,1
Cordillera Central paramo,Cordillera La Costa montane forests,1
Cordillera de Merida paramo,Cordillera La Costa montane forests,0
Central Andean wet puna,Cordillera La Costa montane forests,1
Central Andean puna,Cordillera La Costa montane forests,1
Bolivian montane dry forests,Cordillera La Costa montane forests,1
Araya and Paria xeric scrub,Cordillera La Costa montane forests,0
Central Andean dry puna,Cordillera La Costa montane forests,1
Chilean matorral,Cordillera La Costa montane forests,1
Cauca Valley montane forests,Cordillera Oriental montane forests,0.5
Atacama desert,Cordillera Oriental montane forests,1
Cauca Valley dry forests,Cordillera Oriental montane forests,0.5
Bolivian Yungas,Cordillera Oriental montane forests,1
Cordillera Central paramo,Cordillera Oriental montane forests,1
Cordillera La Costa montane forests,Cordillera Oriental montane forests,0.5
Cordillera de Merida paramo,Cordillera Oriental montane forests,0.5
Central Andean wet puna,Cordillera Oriental montane forests,1
Central Andean puna,Cordillera Oriental montane forests,1
Bolivian montane dry forests,Cordillera Oriental montane forests,1
Araya and Paria xeric scrub,Cordillera Oriental montane forests,0.5
Central Andean dry puna,Cordillera Oriental montane forests,1
Chilean matorral,Cordillera Oriental montane forests,1
Cauca Valley montane forests,Eastern Cordillera real montane forests,0.666666667
Atacama desert,Eastern Cordillera real montane forests,1
Cordillera Oriental montane forests,Eastern Cordillera real montane forests,0.75
Cauca Valley dry forests,Eastern Cordillera real montane forests,0.666666667
Bolivian Yungas,Eastern Cordillera real montane forests,0.75
Cordillera Central paramo,Eastern Cordillera real montane forests,0.333333333
Cordillera La Costa montane forests,Eastern Cordillera real montane forests,1
Cordillera de Merida paramo,Eastern Cordillera real montane forests,1
Central Andean wet puna,Eastern Cordillera real montane forests,0.75
Central Andean puna,Eastern Cordillera real montane forests,0.833333333
Bolivian montane dry forests,Eastern Cordillera real montane forests,1
Araya and Paria xeric scrub,Eastern Cordillera real montane forests,1
Central Andean dry puna,Eastern Cordillera real montane forests,0.833333333
Chilean matorral,Eastern Cordillera real montane forests,1
Cauca Valley montane forests,High Monte,1
Atacama desert,High Monte,1
Eastern Cordillera real montane forests,High Monte,1
Cordillera Oriental montane forests,High Monte,1
Cauca Valley dry forests,High Monte,1
Bolivian Yungas,High Monte,1
Cordillera Central paramo,High Monte,1
Cordillera La Costa montane forests,High Monte,1
Cordillera de Merida paramo,High Monte,1
Central Andean wet puna,High Monte,1
Central Andean puna,High Monte,0.75
Bolivian montane dry forests,High Monte,1
Araya and Paria xeric scrub,High Monte,1
Central Andean dry puna,High Monte,0.75
Chilean matorral,High Monte,1
Cauca Valley montane forests,La Costa xeric shrublands,1
Atacama desert,La Costa xeric shrublands,1
Eastern Cordillera real montane forests,La Costa xeric shrublands,1
Cordillera Oriental montane forests,La Costa xeric shrublands,0.5
Cauca Valley dry forests,La Costa xeric shrublands,1
Bolivian Yungas,La Costa xeric shrublands,1
Cordillera Central paramo,La Costa xeric shrublands,1
Cordillera La Costa montane forests,La Costa xeric shrublands,0
Cordillera de Merida paramo,La Costa xeric shrublands,0
