"Region_1","Region_2","Jaccard_Index_total","Jaccard_Index_native","Jaccard_Index_exotic","HI"
"Araya and Paria xeric scrub","Atacama desert",0.0190930787589499,0.0190930787589499,0.0222222222222222,0
"Araya and Paria xeric scrub","Bolivian Yungas",0.0525551684088269,0.0526162790697674,0.0649350649350649,-6.11106609404999e-05
"Atacama desert","Bolivian Yungas",0.0108630054315027,0.0102657004830918,0.0939226519337017,0.000597304948410928
"Araya and Paria xeric scrub","Bolivian montane dry forests",0.074398249452954,0.0738916256157636,0.0487804878048781,0.000506623837190495
"Atacama desert","Bolivian montane dry forests",0.0317654245571167,0.0318042813455657,0.138121546961326,-3.88567884490668e-05
"Bolivian Yungas","Bolivian montane dry forests",0.341108671789243,0.340197693574959,0.463157894736842,0.000910978214283764
"Araya and Paria xeric scrub","Cauca Valley dry forests",0.0875486381322957,0.0875486381322957,0.10126582278481,0
"Atacama desert","Cauca Valley dry forests",0.0108247422680412,0.0108247422680412,0.0297029702970297,0
"Bolivian Yungas","Cauca Valley dry forests",0.172766537849511,0.172656960873521,0.152263374485597,0.000109576975989872
"Bolivian montane dry forests","Cauca Valley dry forests",0.150657894736842,0.150378413951958,0.129411764705882,0.000279480784884212
"Araya and Paria xeric scrub","Cauca Valley montane forests",0.0419089976052001,0.0419161676646707,0.0676328502415459,-7.17005947051957e-06
"Atacama desert","Cauca Valley montane forests",0.00535868625756266,0.00535961272475795,0.0365853658536585,-9.26467195291186e-07
"Bolivian Yungas","Cauca Valley montane forests",0.245371649626969,0.245369090406414,0.167857142857143,2.55922055461544e-06
"Bolivian montane dry forests","Cauca Valley montane forests",0.147651006711409,0.147540983606557,0.15916955017301,0.000110023104852031
"Cauca Valley dry forests","Cauca Valley montane forests",0.258043227190233,0.258085808580858,0.702020202020202,-4.25813906254624e-05
"Araya and Paria xeric scrub","Central Andean dry puna",0.0242085661080074,0.0242990654205607,0,-9.04993125533e-05
"Atacama desert","Central Andean dry puna",0.117886178861789,0.118852459016393,0.196078431372549,-0.000966280154604815
"Bolivian Yungas","Central Andean dry puna",0.0385765550239234,0.0380239520958084,0.134502923976608,0.000552602928115063
"Bolivian montane dry forests","Central Andean dry puna",0.0779298036882808,0.0761904761904762,0.209580838323353,0.00173932749780459
"Cauca Valley dry forests","Central Andean dry puna",0.0136186770428016,0.0136319376825706,0.02,-1.32606397690374e-05
"Cauca Valley montane forests","Central Andean dry puna",0.013481228668942,0.0133151246159099,0.0286885245901639,0.000166104053032112
"Araya and Paria xeric scrub","Central Andean puna",0.0580137659783677,0.0580708661417323,0.0288461538461538,-5.71001633645346e-05
"Atacama desert","Central Andean puna",0.0623342175066313,0.0624169986719788,0.132420091324201,-8.2781165347455e-05
"Bolivian Yungas","Central Andean puna",0.132219705549264,0.131444759206799,0.26984126984127,0.000774946342464999
