ecoregion1,ecoregion2,proportion
Atacama desert,Araya and Paria xeric scrub,0
Bolivian Yungas,Araya and Paria xeric scrub,0
Bolivian montane dry forests,Araya and Paria xeric scrub,0
Cauca Valley dry forests,Araya and Paria xeric scrub,0
Cauca Valley montane forests,Araya and Paria xeric scrub,0
Central Andean dry puna,Araya and Paria xeric scrub,0
Central Andean puna,Araya and Paria xeric scrub,0
Central Andean wet puna,Araya and Paria xeric scrub,0
Chilean matorral,Araya and Paria xeric scrub,0
Cordillera Central paramo,Araya and Paria xeric scrub,0
Cordillera La Costa montane forests,Araya and Paria xeric scrub,1
Cordillera Oriental montane forests,Araya and Paria xeric scrub,0.5
Cordillera de Merida paramo,Araya and Paria xeric scrub,1
Eastern Cordillera real montane forests,Araya and Paria xeric scrub,0
High Monte,Araya and Paria xeric scrub,0
La Costa xeric shrublands,Araya and Paria xeric scrub,1
Lake,Araya and Paria xeric scrub,0
Lara Falcon dry forests,Araya and Paria xeric scrub,1
Magdalena Valley dry forests,Araya and Paria xeric scrub,0
Magdalena Valley montane forests,Araya and Paria xeric scrub,0
Magellanic subpolar forests,Araya and Paria xeric scrub,0
Maranon dry forests,Araya and Paria xeric scrub,0
Northern Andean paramo,Araya and Paria xeric scrub,0.333333333
Northwestern Andean montane forests,Araya and Paria xeric scrub,0
Patagonian steppe,Araya and Paria xeric scrub,0
Patia Valley dry forests,Araya and Paria xeric scrub,0
Peruvian Yungas,Araya and Paria xeric scrub,0
Rock and Ice,Araya and Paria xeric scrub,0
Santa Marta montane forests,Araya and Paria xeric scrub,0
Santa Marta paramo,Araya and Paria xeric scrub,0
Southern Andean Yungas,Araya and Paria xeric scrub,0
Southern Andean steppe,Araya and Paria xeric scrub,0
Tumbes Piura dry forests,Araya and Paria xeric scrub,0
Valdivian temperate forests,Araya and Paria xeric scrub,0
Venezuelan Andes montane forests,Araya and Paria xeric scrub,0.5
Araya and Paria xeric scrub,Atacama desert,0
Bolivian Yungas,Atacama desert,0
Bolivian montane dry forests,Atacama desert,0
Cauca Valley dry forests,Atacama desert,0
Cauca Valley montane forests,Atacama desert,0
Central Andean dry puna,Atacama desert,0.25
Central Andean puna,Atacama desert,0.25
Central Andean wet puna,Atacama desert,0
Chilean matorral,Atacama desert,1
Cordillera Central paramo,Atacama desert,0
Cordillera La Costa montane forests,Atacama desert,0
Cordillera Oriental montane forests,Atacama desert,0
Cordillera de Merida paramo,Atacama desert,0
Eastern Cordillera real montane forests,Atacama desert,0
High Monte,Atacama desert,0
La Costa xeric shrublands,Atacama desert,0
Lake,Atacama desert,0
Lara Falcon dry forests,Atacama desert,0
Magdalena Valley dry forests,Atacama desert,0
Magdalena Valley montane forests,Atacama desert,0
Magellanic subpolar forests,Atacama desert,0.5
Maranon dry forests,Atacama desert,0
Northern Andean paramo,Atacama desert,0
Northwestern Andean montane forests,Atacama desert,0
Patagonian steppe,Atacama desert,0.5
Patia Valley dry forests,Atacama desert,0
Peruvian Yungas,Atacama desert,0
Rock and Ice,Atacama desert,0.5
Santa Marta montane forests,Atacama desert,0
Santa Marta paramo,Atacama desert,0
Southern Andean Yungas,Atacama desert,0
Southern Andean steppe,Atacama desert,0.5
Tumbes Piura dry forests,Atacama desert,0
Valdivian temperate forests,Atacama desert,0.5
Venezuelan Andes montane forests,Atacama desert,0
Araya and Paria xeric scrub,Bolivian Yungas,0
Atacama desert,Bolivian Yungas,0
Bolivian montane dry forests,Bolivian Yungas,0.333333333
Cauca Valley dry forests,Bolivian Yungas,0
Cauca Valley montane forests,Bolivian Yungas,0
Central Andean dry puna,Bolivian Yungas,0.5
Central Andean puna,Bolivian Yungas,0.5
Central Andean wet puna,Bolivian Yungas,1
Chilean matorral,Bolivian Yungas,0
Cordillera Central paramo,Bolivian Yungas,0.333333333
Cordillera La Costa montane forests,Bolivian Yungas,0
Cordillera Oriental montane forests,Bolivian Yungas,0
Cordillera de Merida paramo,Bolivian Yungas,0
Eastern Cordillera real montane forests,Bolivian Yungas,0.25
High Monte,Bolivian Yungas,0
La Costa xeric shrublands,Bolivian Yungas,0
Lake,Bolivian Yungas,1
Lara Falcon dry forests,Bolivian Yungas,0
Magdalena Valley dry forests,Bolivian Yungas,0
Magdalena Valley montane forests,Bolivian Yungas,0
Magellanic subpolar forests,Bolivian Yungas,0
Maranon dry forests,Bolivian Yungas,0.5
Northern Andean paramo,Bolivian Yungas,0
Northwestern Andean montane forests,Bolivian Yungas,0
Patagonian steppe,Bolivian Yungas,0
Patia Valley dry forests,Bolivian Yungas,0
Peruvian Yungas,Bolivian Yungas,0.5
Rock and Ice,Bolivian Yungas,0
Santa Marta montane forests,Bolivian Yungas,0
Santa Marta paramo,Bolivian Yungas,0
Southern Andean Yungas,Bolivian Yungas,0.333333333
Southern Andean steppe,Bolivian Yungas,0
Tumbes Piura dry forests,Bolivian Yungas,0.333333333
Valdivian temperate forests,Bolivian Yungas,0
